"season","departure_airport","weather_condition","cloud_type","jet_stream_region","arrival_congestion","aircraft_type","upholstery_style","engine_model","manufacturer_country","terminal_architecture","flight_distance","takeoff_weight","payload_weight","cruise_altitude","average_cruise_speed","headwind_tailwind_speed","taxi_out_time","airborne_time","outside_air_temperature","holding_time","ife_screens","seats_installed","checked_baggage_count","cabin_pressurization_setting","scheduled_arrival_buffer","departure_runways","meal_services","fuel_consumption"
"Summer","JFK","Rain","Stratus","Subtropical Jet","Severe","A320","Standard Fabric","LEAP-1A","France","Classic Terminal",1335.95209216026,96110.9272505995,28257.4245129548,39019.6831706547,455.593160765112,38.2059265805979,94.9393322791562,471.090494617105,-34.262036798097,53.5472575419089,103,232.349110861834,233,7834.57937182507,64.1912658200371,2,2,12773.7738739704
"Summer","LAX","Clear","Cirrus","Subtropical Jet","Moderate","B737","Leather","LEAP-1A","France","Classic Terminal",1120.70587560298,96909.2389610102,23077.6278703907,42322.8651719789,471.11149097985,15.9469430615262,45.7049090786484,240.144467324666,-29.0878377855016,0,127,214.139268360939,184,7471.48199552197,27.7173959173228,6,1,5877.64748297808
"Summer","LAX","Clear","Cirrus","Subtropical Jet","Moderate","B737","Leather","LEAP-1A","France","Classic Terminal",907.876939392234,76150.5936912958,14521.2790819448,38367.7624838207,473.832537834909,18.1063049806672,28.0668507291373,165.514031981933,-28.7284391525329,0,86,171.223233424195,123,7479.17676159534,16.455336343144,3,1,3689.23081515412
"Fall","ATL","Clear","Cumulus","Polar Jet","Low","A320","Standard Fabric","CFM56","Consortium","Concrete Hub",581.632751372148,69897.8298335865,14918.1770580962,35986.2596534149,482.313177763593,79.3677496727056,18.7793543139223,113.948499957013,-56.2127873947861,0,43,177.487138020668,104,7679.15955251482,6.20492353325422,5,0,1956.82851930226
"Spring","LAX","Rain","Cirrus","No Significant Jet","Low","B737","Standard Fabric","LEAP-1A","France","Modern Glass",918.124009588709,92769.70312668,20166.2841488643,40031.8827482487,506.863625984751,3.93164664135814,9.55362344592649,355.121462580597,-42.950436043699,0,114,207.415903856755,122,7659.9720213666,14.3579677635981,3,3,5690.10128116066
"Spring","LAX","Clear","Stratus","Subtropical Jet","High","A320","Standard Fabric","LEAP-1A","France","Modern Glass",662.785174891224,72249.8396885742,17622.2054819069,36028.4219971245,474.601136068576,21.2503440050185,24.9349490690059,137.394233528869,-37.0567072588641,15.0239921941903,33,163.29076670296,158,7169.39776964012,12.1909021470276,6,0,3350.9475856663
"Fall","JFK","Clear","Stratus","Subtropical Jet","High","B787","Premium Fabric","CFM56","Consortium","Modern Glass",1752.26943857928,165255.30591635,45217.7385321144,40757.6890310423,487.647688414164,58.7912305207355,50.944061183289,288.368902230128,-44.2215108387429,22.5459494171818,188,266.703551808352,317,5607.72292922892,16.2576916491244,4,2,15148.1579367874
"Winter","JFK","Rain","Stratus","Polar Jet","High","A320","Standard Fabric","CFM56","Consortium","Classic Terminal",918.037393961126,88566.0722172389,19856.5498620797,37017.5241304636,492.674752682366,17.7339180552211,18.6635509245466,175.802075378001,-60.6730698367278,0,73,192.492314688585,145,7482.09610331747,21.048975643398,5,1,4543.52259599604
"Fall","JFK","Clear","Cumulus","Polar Jet","Moderate","B737","Standard Fabric","Trent XWB","United Kingdom","Modern Glass",807.021712163624,102386.65135308,23265.0768692339,41540.2743905569,495.239663439451,86.0774274187759,28.6615720871958,130.423301466565,-58.8564079498982,0,59,212.843958737784,156,6944.56225015313,11.7832459989981,8,0,3381.27456908359
"Fall","SEA","Snow","Stratus","Polar Jet","Low","B737","Standard Fabric","CFM56","United States","Modern Glass",977.233342036952,84920.6438318505,16185.6629750573,39753.0315531732,487.790331904922,44.3477580529561,9.82473485257036,146.996754136367,-70.1865251515705,0,79,195.764322541502,110,7642.01538889644,11.771880116163,8,1,3774.78237328617
"Spring","SEA","Clear","Stratus","Polar Jet","High","B737","Standard Fabric","CFM56","United States","Classic Terminal",1038.76925040385,90745.8151597388,17166.7286139467,39669.9080733395,466.392292734111,71.7321963737746,29.9061251418517,158.135322243773,-62.5424460217947,41.9933965833168,90,205.515875047359,119,7641.8568301738,38.622228497824,2,1,5669.76455436486
"Summer","ATL","Rain","Stratus","Weak Jet","Severe","B737","Premium Fabric","LEAP-1A","France","Classic Terminal",698.576675536734,81263.0936591736,19210.7188348326,37191.7935389498,457.411819962745,-11.3021278575018,60.9203993720624,244.632132474004,-37.7877485980415,16.4943187607292,65,185.240316125137,134,7535.4140500942,37.3220182074489,4,1,5393.43260645708
"Winter","LAX","Clear","Stratus","Polar Jet","Low","A350","Premium Fabric","CFM56","Consortium","Concrete Hub",3173.68903374416,201432.266251261,49285.6131335544,44385.25136793,547.02401952711,88.7687388652747,11.4179248842809,444.363820264948,-57.525665227087,0,288,308.580132578034,292,6169.28001497678,8.21937296944567,3,5,21497.8759913902
"Summer","LAX","Storm","Cumulonimbus","Subtropical Jet","High","B737","Premium Fabric","CFM56","Consortium","Concrete Hub",1010.32214604889,83435.0806042181,14886.024963886,35481.8201358595,465.112122417666,38.500078709452,57.983253985657,253.657353755398,-27.063690927717,29.0496636077403,85,169.822056886795,124,7558.88770739087,37.6375569393248,4,0,7775.57433856547
"Summer","LAX","Storm","Cumulonimbus","No Significant Jet","High","A320","Premium Fabric","CFM56","Consortium","Modern Glass",727.380234518251,78249.3662447336,18305.6037486543,33159.0815817198,410.767354063023,-48.396891385304,57.2812930553006,127.446830013244,-35.9030367936977,0,41,157.592612087008,144,7453.19489846982,60.5062050835515,6,0,3228.6214458872
"Winter","ATL","Clear","Cumulus","Polar Jet","High","B737","Leather","CFM56","Consortium","Concrete Hub",596.318415910236,71763.7207424966,14978.3636669403,37656.9991102551,482.466341058341,61.9987834169481,18.383216741265,125.688157121664,-61.217413128949,0,52,155.999641204946,107,7431.57143277489,11.5830837880376,8,0,2303.6509979681
"Spring","ATL","Snow","Stratus","Polar Jet","High","B737","Standard Fabric","CFM56","Consortium","Modern Glass",548.352219328098,62869.4458568652,7461.30889309705,33319.4413156238,444.517031733107,51.1032261240488,17.7474355395184,74.3488168277835,-54.8257243564854,0,52,165.531560649134,55,7380.42473698122,16.2053169382693,4,1,1445.07172418453
"Winter","JFK","Snow","Stratus","Polar Jet","Severe","A320","Standard Fabric","LEAP-1A","Consortium","Classic Terminal",810.523327031226,76597.7995409438,9695.31199131822,36576.6507092312,460.374100684748,38.8217371984965,69.1603443836488,164.20100624735,-71.2717694961455,79.8204436721352,66,181.6473026941,69,7451.73243207264,9.89860473921169,6,0,4779.11762561825
"Spring","LAX","Clear","Cirrus","Polar Jet","High","A350","Lie-Flat Premium","Trent XWB","United Kingdom","Modern Glass",2768.40006221526,219688.355192783,49741.8871836032,46126.0974276899,507.049242699086,6.6905844497815,13.974825034628,238.016135552503,-52.606981617259,18.5575203407501,207,256.817398106387,286,5253.13189227656,44.4318821869586,9,6,18326.9528018406
"Winter","ATL","Rain","Cumulonimbus","Polar Jet","Moderate","A320","Leather","LEAP-1A","France","Concrete Hub",443.315714164504,74837.9948406231,11973.0721234519,35188.7144948524,447.283818915115,17.4420624146224,40.8828429331673,65.4298835710337,-55.4938012220102,0,67,152.40716583524,84,7344.45133081607,16.8574223472207,4,0,1332.10361337997
"Fall","JFK","Rain","Stratus","Polar Jet","Moderate","B737","Premium Fabric","CFM56","France","Classic Terminal",957.313167826337,83566.678510484,18115.3749299246,37088.2087488154,494.793959867999,17.3446550834243,64.4310013053862,169.300187151858,-59.8434677285664,0,82,185.270649410466,109,7433.42518951596,12.271681287992,3,2,5337.71232678393
"Fall","JFK","Snow","Cumulus","Polar Jet","High","B737","Leather","CFM56","United States","Classic Terminal",960.492940719057,80304.8450579672,11303.6426975813,36959.9865227564,480.434267643299,-30.5592070282181,24.3659880173039,154.713817430658,-64.9077718499339,12.981730614984,63,168.750798080764,78,7455.29534972256,36.8891979611933,5,1,5428.51290090304
"Spring","LAX","Rain","Stratus","Weak Jet","High","B737","Premium Fabric","CFM56","Consortium","Classic Terminal",546.941259630392,66444.4025349251,16715.6614753704,34223.3285848658,460.836871155229,28.6976123814801,18.3385831041141,91.1676879261852,-38.3519957008915,0,52,159.649494443353,89,7143.88318562341,10.6302677176414,6,0,2044.47609588061
"Spring","JFK","Rain","Stratus","Polar Jet","High","B737","Premium Fabric","CFM56","United States","Classic Terminal",1019.32197904508,81691.5495628461,15033.5321144767,37776.7633996113,470.734120750059,136.957509221898,46.4689026734597,233.030798008513,-54.3792538637235,52.6730283906465,98,192.038672536509,93,7580.98165774538,46.8191277904842,5,1,6245.85159664314
"Summer","ATL","Storm","Cumulus","Polar Jet","Moderate","B787","Premium Fabric","CFM56","Consortium","Classic Terminal",1872.6394994661,152734.048594994,40334.8928273151,37858.1429298453,479.23391095897,7.80651633906641,48.8082319954362,329.806280778919,-47.071393588931,0,148,232.210670203817,211,5784.8407185829,28.3889062188078,8,2,13472.8533426145
"Winter","SEA","Snow","Stratus","Polar Jet","Moderate","A320","Premium Fabric","LEAP-1A","France","Modern Glass",979.546608219601,81603.0212631231,15859.8146302938,36301.6074558213,502.055806507291,94.8409535460039,31.7050488196,205.245662799322,-70.6028142755543,38.4664896783127,62,158.180027323744,131,7186.58269604415,24.4260533258896,2,0,6101.34511573802
"Spring","LAX","Clear","Stratus","No Significant Jet","Severe","A320","Standard Fabric","LEAP-1A","France","Classic Terminal",878.687441970993,92372.2396777158,24462.4785349443,35367.8962680473,451.12565642598,-14.9976947956546,91.4078556372324,261.835495539274,-36.1955470861369,0,63,191.701508557685,195,7483.99521673721,36.9270834459767,3,1,5656.49126673325
"Spring","JFK","Rain","Stratus","Polar Jet","Moderate","B737","Leather","CFM56","Consortium","Classic Terminal",668.850626215519,76566.4564332561,15503.5743462393,38215.166439241,467.181444085202,57.7903338664924,30.418833195694,88.4603411690588,-56.0901145458159,0,40,142.570830990446,125,7730.52982853851,16.9656523210423,4,0,2331.11442515714
"Summer","LAX","Storm","Cumulonimbus","Weak Jet","High","A350","Premium Fabric","Trent XWB","United Kingdom","Classic Terminal",2654.48010022268,220089.099717295,60258.1168632752,39324.6736815849,493.725069708609,-20.9557023318654,45.2494508784602,611.149186160741,-34.3272682553422,58.3964846571658,277,334.65964354969,548,4819.92981328222,20.9279670012379,5,4,36744.4091999905
"Fall","LAX","Clear","Stratus","Polar Jet","Low","B737","Premium Fabric","LEAP-1A","France","Classic Terminal",921.15596950904,86970.6713613227,21368.8458568963,41022.3071658174,517.31418145376,106.370042532947,33.6668771829344,165.436620169583,-53.464682809631,0,84,192.486111876946,158,7560.67773009589,4.17258021497881,1,1,4339.47137609785
"Spring","JFK","Snow","Cirrus","Polar Jet","Moderate","B737","Leather","CFM56","Consortium","Concrete Hub",662.543296672528,72039.281840055,7859.3512579316,34915.1964075355,459.646098683825,25.7366735938186,25.3592855513369,75.181210057539,-61.8226695463784,31.9180640354522,71,159.851694350894,68,6987.94563149034,10.5850877815826,3,0,2618.26553883347
"Fall","LAX","Storm","Cumulonimbus","Polar Jet","High","B787","Lie-Flat Premium","GEnx","United States","Classic Terminal",4552.14288517006,201944.073188521,47516.1145924914,43533.6054544146,503.233908536592,49.8435989110486,82.5135803745255,916.500024116902,-56.6853764029843,134.196720404944,202,240.797214244904,354,5129.72105971829,121.420800286656,7,13,66241.3657085075
"Winter","ATL","Snow","Stratus","Subtropical Jet","Low","A320","Premium Fabric","CFM56","Consortium","Concrete Hub",518.444469333131,68492.4534835582,13074.2146494079,33578.2735164313,467.057806099133,13.1833455453097,28.3819898400817,138.301726347609,-47.2101132508553,25.5967494894891,69,162.99936690861,87,7641.36907417755,10.3104937928284,5,1,2785.58825898288
"Fall","SEA","Rain","Stratus","Polar Jet","Low","B737","Leather","CFM56","Consortium","Modern Glass",862.246948973404,85092.7336431877,24780.2885929918,39309.5612934908,479.096715026357,79.3418090752204,8.69343165552404,132.805934904708,-58.8911805314484,0,75,199.429172475163,257,7278.15141791747,6.3345779156584,3,1,3190.71157775455
"Summer","ATL","Rain","Stratus","Subtropical Jet","Moderate","A320","Leather","GEnx","United States","Classic Terminal",603.7717279793,73504.9595713606,18373.1452841322,40420.1519836425,478.743138062708,-2.7145779619114,6.99265953813089,129.681906133366,-30.2652097342853,0,76,164.635990981109,121,7569.05372669741,8.91933659643626,6,2,2071.15645666522
"Fall","JFK","Snow","Cumulus","Polar Jet","Severe","B737","Standard Fabric","CFM56","Consortium","Concrete Hub",1032.71499324463,84597.7437998291,16651.3849455194,36691.0791894744,444.379213205102,51.2356883670028,98.7851236475865,229.554691313214,-68.8442914091154,106.129906380065,61,184.449124821975,137,7722.91537956663,38.8168820158403,1,1,7928.80887518451
"Spring","JFK","Storm","Cumulus","Weak Jet","Severe","B737","Standard Fabric","LEAP-1A","France","Modern Glass",614.665797261834,71506.480027202,10911.3977023298,32966.5972608946,462.637900009291,-13.8723395372543,88.5563238524123,111.525580340691,-52.5633917531005,64.0284423088269,35,154.695277324299,60,7226.08875314106,14.9787227505139,7,0,4411.00370564689
"Fall","JFK","Clear","Cumulus","Polar Jet","High","A320","Premium Fabric","CFM56","Consortium","Modern Glass",1351.26764265681,93543.8249701931,18731.2525242992,40943.365516457,490.839185582222,29.8611014662279,34.9660796643312,367.45792195786,-60.4941808568686,0,103,203.174553499847,168,7949.43619317418,35.1445900876089,5,4,7781.73275839547
"Winter","SEA","Snow","Cirrus","Polar Jet","Moderate","B787","Standard Fabric","GEnx","Consortium","Classic Terminal",2114.13835751924,167791.980792755,39970.7727910401,42785.3400975643,503.872377234523,19.1446305358225,27.2963050028906,246.065064425603,-68.0209271035822,0,203,266.798839516482,182,5214.02828841786,14.4395479791049,2,4,12151.7547980088
"Winter","ATL","Snow","Stratus","Polar Jet","Moderate","A320","Standard Fabric","LEAP-1A","Consortium","Classic Terminal",707.976062740263,78090.5719742687,13585.3495607473,37946.411654335,494.245724679908,65.1349788180043,11.8160465669139,176.501652613371,-64.544238515606,3.35299254076488,74,190.67975210133,93,7870.7961955564,4.98548687041611,6,2,3125.4858737342
"Summer","SEA","Clear","Stratus","Polar Jet","Severe","A320","Standard Fabric","CFM56","France","Concrete Hub",906.940232723466,77979.0937418595,19849.8996998631,36976.9683023898,448.076595471957,59.2376445764,60.9229978087338,106.028947170944,-50.9725576145286,21.1733846726105,43,165.262594531246,178,7613.78371399528,20.1847680132082,7,0,4276.06917918194
"Fall","ATL","Snow","Stratus","Weak Jet","Low","A320","Premium Fabric","LEAP-1A","Consortium","Concrete Hub",514.188305499028,73351.5294343435,15480.0504321857,36745.7900069299,452.88672733892,15.2092303848784,24.4857724883227,152.355733336929,-53.0046152352681,9.68805044812101,66,171.27194462073,133,7701.99994195231,15.003604499578,1,1,2444.08532825908
"Fall","ATL","Snow","Stratus","Weak Jet","Low","B737","Leather","CFM56","Consortium","Classic Terminal",408.954518390948,71257.9481988111,12777.8849523043,35356.4196514224,474.507651297432,-64.2449353001871,26.1133607497041,91.3786708124557,-52.6296986353177,0,58,143.631995556479,94,7669.5175219451,6.281771567665,3,0,1851.96185290729
"Winter","LAX","Rain","Stratus","Polar Jet","Low","A350","Lie-Flat Premium","Trent XWB","United Kingdom","Classic Terminal",3045.53236699636,215392.590375848,45366.5932083728,47169.1227833319,532.892715657993,58.1325428840932,11.7196962084706,422.786393151667,-56.4902471042352,0,221,271.148367435308,256,5310.25342698334,12.2051653578203,5,12,18249.6792262633
"Spring","JFK","Rain","Stratus","Subtropical Jet","High","A320","Premium Fabric","LEAP-1A","France","Classic Terminal",884.550958978063,82534.5361236223,14625.7270382116,37678.0899596179,482.313199805471,73.27601520513,46.8258248985768,238.95450609736,-42.1779609207093,31.3519654048652,85,178.042045694798,108,7758.00779137769,18.8854538787092,2,2,5752.275407661
"Summer","JFK","Storm","Cumulonimbus","No Significant Jet","High","B737","Standard Fabric","LEAP-1A","Consortium","Classic Terminal",1044.22035347009,92243.121260867,25631.3982970778,36841.5883223647,484.265846729757,-36.9550199485297,77.0563565223777,475.944570264984,-44.4638065301303,78.1826405652005,98,210.715328611249,206,7479.76418004542,21.2915004214241,5,1,14390.8605802908
"Summer","SEA","Snow","Stratus","Polar Jet","Severe","B787","Lie-Flat Premium","GEnx","United States","Modern Glass",4393.86644509516,190924.787336472,42006.7859083799,44998.9707747112,503.572234471757,83.4538001564856,87.4992482663716,878.69184054334,-55.0310026198636,44.7747723539259,163,236.431707757342,420,5213.77965220305,69.5907396913602,2,10,52747.0439356891
"Fall","ATL","Rain","Stratus","Polar Jet","High","B787","Standard Fabric","GEnx","United States","Modern Glass",2295.3300082405,170366.40570493,44114.1602955969,45276.2348213436,520.858457631881,41.8038840371711,15.9880894894012,532.481394519409,-55.4818219573591,33.7330136606862,127,262.329200911351,232,5705.15492525045,57.7483877211322,4,4,21754.9187597351
"Fall","JFK","Storm","Cumulonimbus","Polar Jet","High","A320","Leather","CFM56","France","Classic Terminal",1004.46445918873,70943.7635679725,11111.1409715166,36161.5685877326,452.83552897631,93.7100936477809,43.1349355775221,250.380453219711,-61.5771343629883,72.054455323011,82,168.494762868024,96,7786.45314316111,12.8126452035363,2,2,5832.66473676764
"Summer","SEA","Snow","Cumulus","Weak Jet","High","B737","Leather","CFM56","Consortium","Modern Glass",807.164539928337,84836.3261997046,18006.6790027095,36792.981441667,453.543187451453,66.4727980092881,60.6460191702302,166.499240912125,-45.5503062439563,19.3549269129172,65,166.519165776878,157,7692.66680983839,28.0577160533175,3,0,5060.64971094902
"Winter","JFK","Snow","Stratus","Polar Jet","High","A350","Lie-Flat Premium","CFM56","Consortium","Classic Terminal",2640.32177862451,208124.400236126,44657.0423664397,43932.7598621035,501.993632104559,41.4635127342941,121.06083924846,439.769541503183,-70.7992372591322,84.7545577621402,176,252.321112067445,239,5498.53800770939,16.8279581112391,3,4,32782.4252121977
"Summer","SEA","Rain","Stratus","Weak Jet","Low","A320","Premium Fabric","CFM56","Consortium","Classic Terminal",555.449866058073,69402.768034091,21291.1408277845,34606.4919051148,464.295144931904,6.69753212920936,38.1325393663579,112.669540754953,-41.4267067668893,17.9161243530432,36,149.597954570573,167,7392.52428539741,4.31366644471099,5,0,3029.82434161851
"Summer","ATL","Clear","Cumulus","Weak Jet","Severe","B737","Standard Fabric","CFM56","Consortium","Concrete Hub",859.127002114622,85480.3681838844,21917.6180458498,36713.4255243827,479.199319866901,28.1105331775354,65.9952644026398,328.98485090561,-35.2811102954596,46.0696344895816,98,208.423586926576,148,7650.16752363123,32.7859351756119,2,2,8538.00318790023
"Summer","JFK","Storm","Cumulonimbus","Weak Jet","High","A350","Leather","Trent XWB","United Kingdom","Classic Terminal",2539.27118010134,216066.706097246,47068.3882045702,40916.93999038,502.385641510509,-20.6445948155012,69.7680585989722,524.647300252318,-43.0407570226721,31.1263171274862,310,314.736982051087,292,5377.89312506947,34.6312977917425,3,3,32923.5878073209
"Fall","ATL","Storm","Cumulonimbus","Polar Jet","Moderate","B737","Leather","LEAP-1A","France","Modern Glass",545.465981106687,83751.083030334,14765.9158175556,32870.0066793908,449.355176535612,36.8272465631663,52.2623794901254,55.0548251346879,-56.6091106583779,23.4559703738658,77,155.018170498945,103,7417.19170445301,12.2218995078586,5,0,2465.9748878053
"Spring","SEA","Rain","Stratus","Polar Jet","Low","B737","Premium Fabric","CFM56","Consortium","Classic Terminal",905.329854125941,76509.74336758,12794.9761951005,39071.2036381932,496.094932400105,42.2299083167489,10.1482074907775,154.421853693409,-59.603901293744,6.34739345875595,68,167.22136293953,88,7655.92014117382,13.114951215102,3,1,4003.123876396
"Summer","JFK","Clear","Cumulonimbus","Weak Jet","Low","A320","Standard Fabric","LEAP-1A","Consortium","Concrete Hub",681.297111999676,78052.0370167071,20703.6586331596,37072.1310797097,474.422106568401,39.0177041210094,13.2978108681642,162.05367247948,-38.2061841024171,11.1064168598603,66,192.601829901932,135,7549.87070272369,20.8810905202489,5,1,3254.83957585469
"Summer","LAX","Rain","Cumulonimbus","Subtropical Jet","High","A320","Standard Fabric","CFM56","France","Modern Glass",1067.16371640943,83947.5055824124,18512.1860454718,38586.7678092577,491.847952886647,33.0198443207794,19.0992904171408,316.081436447865,-25.8722434557071,5.01869756656291,86,193.471145361466,158,7994.1944938992,11.7880502630401,7,1,6855.92359575287
"Fall","ATL","Rain","Stratus","Weak Jet","High","B737","Leather","CFM56","France","Concrete Hub",632.725788951801,94036.1470201643,25971.9113756019,36086.3416976779,426.302160423934,0.392642333667285,17.9592848107936,238.237915730472,-48.4793250105169,17.9150941004752,96,205.057342897228,215,7690.32594983587,48.5985599928165,7,1,4130.85961324084
"Fall","JFK","Clear","Cirrus","Polar Jet","Low","A320","Standard Fabric","CFM56","Consortium","Concrete Hub",982.890993378852,86902.4734270473,20849.2061937271,41873.4820239176,514.863065488859,29.3956885969817,5.57997558010126,247.607026562605,-60.7645741494016,18.7555601788519,89,194.619436921518,160,7877.65866294601,10.643060531249,4,3,5697.58062333894
"Fall","JFK","Rain","Stratus","Polar Jet","Moderate","A320","Standard Fabric","CFM56","Consortium","Classic Terminal",696.800219410818,72781.8279893285,12549.2698715257,38198.8151936715,458.973969707635,13.9993304257097,65.5620845204131,116.6086761459,-64.0969742581999,13.4880797479363,50,159.457533238536,72,7884.45911765951,23.4064878531787,1,0,3246.50388199529
"Summer","JFK","Rain","Cirrus","Subtropical Jet","High","A320","Leather","LEAP-1A","France","Classic Terminal",851.706298018449,86192.5523539236,20878.404053165,35992.0053543249,460.138237097293,59.3091115930272,50.9293065495888,175.767581104861,-32.0699154224996,47.3095566444874,89,183.742287343377,195,7650.54503335797,16.9774476182374,6,0,5369.13688480259
"Spring","ATL","Storm","Cumulonimbus","Weak Jet","Moderate","B737","Premium Fabric","CFM56","Consortium","Concrete Hub",821.706003212164,83648.6898683537,16374.5008080162,35734.8704676213,461.907062441868,-6.75135963189764,27.440090736541,391.360053432573,-49.9649966245451,11.0732294483019,99,204.154325302,112,7874.16784322795,18.939803050743,8,2,6632.94913463186
"Spring","ATL","Rain","Cumulus","Polar Jet","Low","A320","Premium Fabric","CFM56","Consortium","Modern Glass",493.615395882643,66946.0200599303,17297.0942473344,34432.0894300178,454.280984042047,40.3419815533976,16.3297941165641,98.6715781518673,-49.9680350238515,0,58,160.545977980334,133,7485.72985602884,7.77160305933036,6,0,1570.16018843004
"Fall","ATL","Snow","Stratus","Polar Jet","Low","B787","Premium Fabric","GEnx","United States","Classic Terminal",1449.67213423107,165012.995305072,40469.1996663992,41442.7975102796,493.175978686906,21.8145163012525,37.0176695049475,176.049446109589,-60.8519356420605,0,189,251.849601932506,188,5425.02878767027,18.5658046670151,2,3,7773.53688983921
"Spring","SEA","Snow","Stratus","Polar Jet","High","B787","Standard Fabric","CFM56","Consortium","Classic Terminal",4205.90333684026,189119.239662222,55074.2220653619,41748.3739163798,508.227369944538,19.3066027198143,33.9010722631863,1045.05288408493,-63.1995316562727,0,334,324.691585836194,552,5657.84155669961,25.679251255706,4,9,43783.0459831121
"Summer","LAX","Rain","Stratus","Subtropical Jet","Severe","B737","Premium Fabric","LEAP-1A","France","Modern Glass",802.816284360316,76508.1537439117,17661.2223281294,37006.080067201,457.080979460191,14.9402939625477,23.8860683788519,98.5653210080666,-24.149140914374,8.25974556903505,41,166.799024015711,123,7272.53918775253,31.3724845942188,9,0,3615.97556486774
"Fall","LAX","Rain","Stratus","Polar Jet","Low","B737","Premium Fabric","CFM56","Consortium","Modern Glass",740.922573555137,72681.4120980481,13355.8361412882,39973.3716961505,477.923220823195,41.2853294002774,23.6586036726373,81.8606687029357,-54.6385374247157,0,83,171.377097845736,101,7371.163284958,6.28546340411845,8,0,2375.8546406561
"Spring","LAX","Clear","Stratus","No Significant Jet","High","A320","Standard Fabric","LEAP-1A","France","Modern Glass",933.29961675991,89731.3396584711,23610.7980428979,37979.0476290713,489.840141402333,-3.98019795761156,8.22789642360076,314.817792305091,-42.8306694219219,16.6574635384574,90,214.75673242494,139,7507.94273784379,17.1304247041741,8,2,6489.54580681374
"Spring","JFK","Clear","Cirrus","Weak Jet","High","A320","Premium Fabric","CFM56","Consortium","Modern Glass",709.949317454245,85856.833479685,18624.5872297231,36805.5110534441,475.746033153937,33.5271617265844,45.2663106980809,204.342511087778,-49.4358038570222,29.2756344304866,83,185.787017655378,114,7956.36843975846,15.6419329213582,6,1,5048.53638682959
"Spring","ATL","Storm","Cirrus","Polar Jet","Moderate","A350","Lie-Flat Premium","Trent XWB","United Kingdom","Modern Glass",2427.06985818357,220498.32327573,45857.0702470383,40303.2642346141,522.620655314656,47.9986227015283,31.0031260883182,435.144056027211,-54.2121969990029,10.8619478840286,114,244.950164114954,251,4825.17146672141,42.4392059578547,10,2,23628.9945042384
"Winter","ATL","Clear","Cirrus","Subtropical Jet","High","B737","Leather","LEAP-1A","France","Classic Terminal",511.397607712659,76152.6123764296,15542.5841352439,36813.4327227393,489.597449809537,20.1790998754623,27.4297672326889,86.7558848542834,-46.0152782155045,0,63,168.884163977749,149,7416.33760257316,3.4312652581421,1,0,2114.06592521015
"Winter","JFK","Clear","Stratus","Polar Jet","High","A320","Premium Fabric","LEAP-1A","Consortium","Classic Terminal",1190.58923438861,87440.5188170127,15340.5816572733,36773.6902656508,485.717695721808,72.2451312636447,32.4994753554814,294.787388418347,-61.5809119258306,0,97,202.882860078658,119,7460.24502376791,44.223484554042,3,3,5682.93963817743
"Summer","SEA","Snow","Stratus","Weak Jet","High","B737","Leather","CFM56","Consortium","Modern Glass",1054.46316629313,88096.9665496235,20811.9876712789,39510.9440235928,472.900703248874,25.0386654246159,47.8219565613122,371.935076396686,-49.7571957150106,51.2019357097763,73,177.599955119957,192,7897.93608850335,14.7915517563509,3,1,9819.50863636445
"Winter","JFK","Clear","Cumulus","Polar Jet","High","B737","Leather","LEAP-1A","France","Classic Terminal",510.059096352778,57102.8391681935,9385.9111905439,33114.024796544,455.901755125175,67.0424535726388,38.60867237879,41.3132131477349,-63.2437174857298,0,32,116.750736312211,75,6724.92929536947,20.8498428046857,2,0,1190.52716948116
"Fall","JFK","Clear","Cumulonimbus","Polar Jet","High","A350","Leather","Trent XWB","United Kingdom","Modern Glass",2448.40973568257,211246.04499679,48870.1180145812,45303.3072948738,557.711821709067,69.9640102511036,51.1658435717395,269.060319181742,-59.5536810952322,39.9222486170566,166,287.188261374922,321,5335.00020726624,14.2900017477404,5,2,24356.4461376197
"Fall","ATL","Snow","Cumulonimbus","Polar Jet","High","B737","Leather","CFM56","Consortium","Concrete Hub",584.014995631466,70580.6533332049,12676.1847373856,34553.1816844914,448.464837305916,16.8513925102999,6.90695662788888,67.1936492342822,-60.9877866141858,4.2441892137733,45,149.956509793141,125,7490.40673611089,20.4756153548709,8,0,1828.2054219939
"Fall","JFK","Rain","Stratus","Polar Jet","High","A320","Standard Fabric","LEAP-1A","France","Modern Glass",1085.82526358212,85132.4356912473,18934.4890947991,38348.1112828323,496.843098433347,16.8600602631464,23.3225500555863,223.957579816168,-58.9747859379123,0,68,195.558006004816,151,7496.54255718947,36.0985087830875,1,2,5468.45104195855
"Summer","LAX","Rain","Stratus","Weak Jet","Low","B737","Premium Fabric","CFM56","Consortium","Modern Glass",808.2070905438,87607.5806101647,26726.8933564214,38863.889021587,503.988430186971,10.8177717325205,27.0334660196307,155.617361991184,-36.8885940659036,0,76,197.73731478313,241,7572.13138045315,6.78827961559692,1,0,4721.44934119434
"Fall","SEA","Snow","Stratus","Polar Jet","High","B787","Standard Fabric","GEnx","United States","Concrete Hub",4639.53605723682,185699.017929312,46401.1607720901,44031.187215067,503.368683681776,77.961998871193,41.4767289456456,1121.01240251063,-65.328437141833,44.4050595380146,263,302.291037053894,396,5199.43103576478,88.8178005366783,7,10,53584.9191762117
