quarter,day,holiday,category,parent,brand,supplier,fulfillment,prime,labor_regime,comp_shortage,package_quality,visibility,price,discount_pct,ad_spend,avg_rating,num_reviews,historical_sales,inventory_level,shipping_time,competitor_price_diff,page_views,manufacturing_cost,vendor_funding,marketing_budget,product_age,time_on_platform,warehouse_capacity,distance_to_customer,labor_level,search_rank,packaging_quality,weekly_demand
Q2,Tue,0,Books,PG,PenguinClassics,Publisher,FBA,1,Low,0,Good,Top100,3.353283353,52.41911115,0.323525626,4.8,4,5,4404,0.5,-3.4,0,1.551072646,0.069763245,4.335000799,1168,1413,4404,110,0.89,1,64,925
Q2,Fri,0,Home,Generic,Kindle,AuthorizedDistributor,FBA,1,Medium,0,Standard,Top5,53.64120493,33.64092402,3.184738605,4,13,13,185,1,-32.7,1,7.12795089,1.170463381,28.27761478,26,38,185,107,1.81,35.6,77.3,15074
Q4-Holiday,Tue,0,Beauty,Generic,Galaxy,MarketplaceSeller,MerchantFulfilled,1,Low,0,Poor,Top20,51.72336547,34.16692282,4.011574101,3.4,9,18,263,1,-0.7,1,12.65053595,0.995959418,21.56301923,32,47,263,662,1.42,1,34.8,1693
Q2,Wed,0,Books,AmazonBasics,PenguinClassics,Publisher,FBA,1,High,0,Premium,Top100,3.374705482,11.705564,0.165604623,4.5,8,5,1918,0.5,-16.3,0,0.951158032,0.113514656,0.855119487,1955,3485,7669,155,2.06,1,59.7,620
Q2,Fri,0,Beauty,AmazonBasics,GenericBrand,Importer,SellerFulfilledPrime,1,High,0,Poor,LowVisibility,9.095252908,71.34433798,0.528701359,3.9,5,3,176,3,-8.4,0,1.720510149,0.363386646,8.744706841,45,110,176,215,1.94,1,30.7,2253
Q1,Wed,0,Clothing,Nike,NikeRunning,MarketplaceSeller,MerchantFulfilled,1,Medium,0,Standard,LowVisibility,38.02831462,64.77416905,2.25728505,3.8,4,2,213,1,-3.4,0,2.960651504,1.553585899,14.93204997,45,58,213,1223,0.77,1,41,312
Q1,Tue,0,Grocery,Generic,LorealParis,WholesaleAggregator,FBA,1,Low,0,Good,LowVisibility,5.956408938,21.29572156,0.161875872,4.1,2,8,1717,0.5,1.4,0,1.672691468,0.016700862,2.155122543,15,21,2013,55,1.18,1,67.8,347
Q3,Sun,0,Beauty,Generic,Nescafe,WholesaleAggregator,MerchantFulfilled,0,High,0,Standard,LowVisibility,4.240860113,44.54002786,0.358737104,3.8,1,1,755,2,-4.3,0,0.937791635,0.270454855,4.383110112,176,176,755,243,2.18,1,49.2,888
Q1,Wed,0,Beauty,Apple,LorealParis,MarketplaceSeller,MerchantFulfilled,0,Low,0,Poor,Top20,84.63491524,76.13652923,8.702971166,4.8,3,11,508,2,0,11,43.15496998,5.891134658,319.10135,49,123,508,1500,0.25,5.3,59.2,15728
Q2,Wed,0,SportsOutdoor,Generic,Kindle,Importer,FBA,1,High,0,Good,Top20,77.20385111,66.56206929,3.176058715,4.3,10,6,859,1,-11.8,1,4.151104516,1.259004707,20.54532931,30,210,859,441,2.38,9.9,65.4,1429
Q4-Holiday,Thu,0,Electronics,Samsung,Galaxy,ManufacturerDirect,FBA,1,Medium,0,Premium,LowVisibility,1120.657599,16.10567672,7.35905809,5,39,26,1150,0.5,-16,1,657.1218851,5.987465274,46.20501353,4,9,1150,633,3.11,9.7,100,523
Q2,Sun,0,Home,AmazonBasics,iPhone,AuthorizedDistributor,FBA,1,Low,0,Premium,Top20,247.027826,20.06677074,5.310321061,4.4,35,15,234,0.5,-12.6,3,62.41085029,4.693961044,71.59658274,45,45,234,207,1.26,45.3,100,853
Q4-Holiday,Tue,0,Toys,Generic,Nescafe,Importer,FBA,0,High,1,Good,Top100,4.98245725,30.02827541,0.418737765,4.6,8,3,358,1,2.8,0,2.268982489,0.258257964,1.789368755,37,44,545,1011,3.68,1,58.8,2179
Q4-Holiday,Sun,1,Beauty,AmazonBasics,GenericBrand,MarketplaceSeller,MerchantFulfilled,0,High,0,Poor,LowVisibility,7.827085363,53.58467818,1.090080497,2.8,2,1,381,3,-2.5,0,3.3096217,0.817687091,6.632903323,45,175,381,789,3.3,1,22.3,42
Q4-Holiday,Thu,0,Electronics,Samsung,Galaxy,Importer,MerchantFulfilled,0,High,0,Standard,LowVisibility,391.9938617,15.92623125,2.540292277,4.1,23,4,104,8,1.8,0,136.2112042,1.536846605,20.24987054,51,51,104,3414,2.63,1,79.3,3
Q4-Holiday,Mon,0,Clothing,PG,GenericBrand,MarketplaceSeller,MerchantFulfilled,0,High,0,Poor,LowVisibility,13.19755774,49.17488771,0.460965687,4,1,2,98,4,5.8,0,5.579930845,0.106976038,4.661938408,146,178,98,459,2.36,1,17.1,84
Q2,Fri,0,SportsOutdoor,Generic,SonyAudio,AuthorizedDistributor,FBA,1,Medium,0,Standard,LowVisibility,39.12717105,28.36762635,0.468964084,4.6,2,2,416,1,-1,0,22.87876108,0.215843119,8.181697079,51,84,416,184,1.68,1,76.2,150
Q4-Holiday,Tue,0,Toys,Apple,iPhone,ManufacturerDirect,FBA,1,Peak,0,Premium,Top5,1498.061989,6.698205206,150.6565011,5,1507,1072,632,0.5,-15.6,284,589.1807501,16.93330023,1780.654878,10,37,771,200,4.56,83.2,100,882236
Q2,Sat,0,Toys,Nestle,PenguinClassics,Publisher,FBA,1,Peak,0,Standard,Top100,3.988239059,37.06680169,0.88186249,4.5,3,20,16102,0.5,9,1,3.007446372,0.571687341,5.513629128,155,396,16102,155,3.08,19,70.1,11383
Q1,Sat,0,Toys,Nestle,Kindle,MarketplaceSeller,MerchantFulfilled,0,Medium,0,Standard,LowVisibility,5.882206474,16.96743453,0.544253879,3.8,0,2,528,3,-0.6,0,1.732877415,0.096178694,1.830545698,31,31,528,815,1.04,1,32.5,508
Q4-Holiday,Mon,0,Books,Penguin,PenguinClassics,Publisher,FBA,1,Medium,0,Poor,LowVisibility,1.171781614,30.16060405,0.048806799,3.9,13,2,3043,0.5,-18.6,0,0.623429562,0.013107185,0.195671741,400,1116,3043,228,2.81,1,5.4,599
Q2,Sun,0,Beauty,Generic,PenguinClassics,Publisher,FBA,1,High,0,Good,Top20,14.90619995,35.8766691,1.03858733,4.2,34,19,435,0.5,-11.4,1,8.48728541,0.318755277,9.779883637,484,484,574,87,2.39,13.3,100,25713
Q2,Thu,0,Books,Penguin,PlayStation,MarketplaceSeller,FBA,1,Low,0,Poor,Top5,13.2632274,56.68979019,1.471053655,3.7,19,7,522,0.5,-6.5,2,1.935392015,0.436367943,11.55170224,23,41,5079,663,1.1,10.3,26.8,15921
Q3,Sun,0,Grocery,Sony,SonyAudio,MarketplaceSeller,FBA,1,High,0,Poor,LowVisibility,6.843349877,46.40546147,0.396091689,4.3,1,10,351,1,-4.3,0,2.249507885,0.152093509,2.14551423,62,65,498,130,2.83,1,21.1,1110
Q2,Sat,1,Books,Penguin,PenguinClassics,Publisher,FBA,1,Low,0,Poor,LowVisibility,1.212448917,59.64357057,0.165122991,4.1,21,9,1840,1,-22.8,0,0.275947485,0.111123566,1.248734336,4373,6848,2770,82,1.78,1,16.3,3170
Q4-Holiday,Fri,0,Electronics,Apple,iPhone,AuthorizedDistributor,FBA,1,High,1,Premium,Top5,16813.58331,11.07159996,658.5818325,5,6409,895,305,1,-28.4,1927,5117.455354,378.3050102,62707.79707,5,9,305,104,3.92,96.8,100,5076131
Q4-Holiday,Fri,0,Toys,Generic,Galaxy,MarketplaceSeller,FBA,1,High,1,Poor,Top5,72.10995731,8.886726869,6.99552572,4.3,57,27,139,1,-7.1,2,14.90240164,3.673047229,28.09316014,3,13,139,591,3.91,29.1,50.1,12849
Q3,Thu,0,Toys,Nestle,Nescafe,MarketplaceSeller,MerchantFulfilled,0,Medium,0,Good,LowVisibility,1.753040589,58.34219348,0.67526922,3.5,2,3,1639,2,-11.3,0,0.425630954,0.355914521,4.461377155,160,160,1639,645,1.38,1,20.2,270
Q4-Holiday,Tue,0,Toys,Penguin,Galaxy,WholesaleAggregator,FBA,1,Peak,0,Standard,Top5,53.2547839,6.734817739,3.659900628,5,62,19,971,0.5,-0.7,2,16.1814123,2.606956132,13.8587536,13,13,971,105,4.66,36.3,98.7,6125
Q4-Holiday,Thu,0,Toys,Samsung,Galaxy,ManufacturerDirect,FBA,1,Peak,1,Premium,Top5,373.018892,54.25011467,21.62708231,5,352,176,582,0.5,-17.1,35,163.0201807,12.01880812,376.3393401,17,27,582,265,4.64,71.1,100,5216018
Q1,Sun,0,Grocery,Loreal,Kindle,AuthorizedDistributor,FBA,1,High,0,Good,Top100,10.09665379,12.05615263,0.604806938,5,3,54,2373,0.5,-1.5,1,3.158518441,0.361668611,5.726062155,58,61,3791,84,2.45,26.3,92.8,27397
Q4-Holiday,Thu,0,Grocery,Sony,PlayStation,AuthorizedDistributor,FBA,1,Medium,0,Premium,LowVisibility,43.12682397,4.03271,2.125421938,4.9,4,13,627,0.5,-16.1,0,11.39762217,1.74072887,19.75620715,4,10,627,104,3.25,1,100,1164
Q3,Sat,0,Beauty,Nike,NikeRunning,IndependentArtisan,MerchantFulfilled,1,High,0,Good,Top100,54.26712002,33.88551726,3.026115427,5,14,3,564,5,7.5,0,13.51456303,2.686139819,7.463079895,296,616,564,762,2.02,1,84.7,753
Q1,Sat,0,Clothing,Nike,NikeRunning,Publisher,FBA,1,Medium,0,Good,LowVisibility,65.6956771,27.34389331,1.68004016,5,2,3,925,0.5,3.4,0,10.68977771,0.590076305,8.241848821,43,53,925,215,1.49,1,97,815
Q3,Fri,0,Toys,Penguin,PenguinClassics,Publisher,FBA,1,High,0,Standard,LowVisibility,3.725435278,12.0641446,0.223275162,4.2,4,1,815,1,-11.8,0,1.35658262,0.103537387,3.312377261,138,178,815,169,2.56,1,55.1,1041
Q1,Wed,0,Books,Penguin,PenguinClassics,Publisher,FBA,1,Medium,0,Standard,Top20,2.574236182,53.27430053,0.425375864,5,23,7,6108,0.5,-10.3,1,1.000832134,0.255159032,3.38318291,1422,2247,6108,123,1.34,22.4,71.1,79269
Q4-Holiday,Sat,0,Home,PG,Galaxy,MarketplaceSeller,FBA,1,Peak,0,Poor,LowVisibility,58.07191828,57.64680616,1.160438427,4.4,6,0,43,1,-3.9,0,12.69139909,0.949028352,5.967108819,30,70,71,60,4.1,1,35.3,105
Q3,Wed,0,Clothing,Hasbro,PlayStation,AuthorizedDistributor,FBA,1,Medium,0,Premium,Top5,157.2502327,33.8351432,24.78780418,4.8,39,24,692,1,-5.9,14,48.70447354,17.75243312,213.778434,5,11,692,110,2.2,60,100,43685
Q4-Holiday,Sat,0,Grocery,Generic,SonyAudio,MarketplaceSeller,MerchantFulfilled,0,High,0,Poor,Top100,2.887577587,24.90793446,0.204796211,3.9,3,0,182,5,3.1,0,1.51978421,0.16945458,0.879970944,32,83,182,86,2.82,1,8.1,132
Q3,Sat,1,Clothing,Nike,NikeRunning,Importer,MerchantFulfilled,1,High,0,Good,LowVisibility,57.70751101,29.51002181,2.597021284,4.2,7,1,116,4,7,0,10.16057629,0.849611881,6.951570826,51,80,116,1834,2.96,1,72.3,118
Q3,Tue,0,Grocery,Penguin,PenguinClassics,Publisher,FBA,0,High,0,Standard,LowVisibility,1.096024646,33.88036873,0.11127184,4.1,0,1,1438,1,3.8,0,0.427850319,0.078791065,0.710024171,66,169,1713,86,2.38,1,24.4,2290
Q3,Sat,1,Books,Generic,iPhone,Publisher,FBA,1,Peak,0,Premium,Top20,103.817812,27.04204407,6.113375549,5,25,27,1792,0.5,-20.8,7,7.768116858,4.754526935,46.32691142,262,462,3089,168,3.93,40.1,100,35321
Q2,Sun,0,Clothing,Nike,NikeRunning,MarketplaceSeller,MerchantFulfilled,0,Medium,0,Poor,Top100,27.39803048,24.68263125,0.577114699,3,5,0,10,12,-3.3,0,2.276888401,0.114297103,1.118969905,26,61,10,527,1.12,1,7,3
Q1,Fri,0,Grocery,PG,Galaxy,MarketplaceSeller,MerchantFulfilled,0,Low,0,Poor,LowVisibility,7.387665798,74.53623705,0.52726497,3.3,4,2,21,7,-15,0,1.835915214,0.413594968,6.304039046,7,18,45,141,0.26,1,7.4,1230
Q3,Thu,0,Grocery,Nestle,PlayStation,MarketplaceSeller,FBA,1,Medium,0,Premium,Top5,17.85648528,44.5806754,4.173863338,4.3,30,22,1017,1,-3.1,2,1.804987358,1.215320058,22.56874273,15,18,1017,97,2.32,44.4,82.4,57644
Q1,Sat,0,Home,Generic,GenericBrand,MarketplaceSeller,MerchantFulfilled,1,Peak,0,Poor,LowVisibility,16.91961743,6.200384444,0.17690721,3.2,3,2,104,1,6.3,0,6.349718073,0.156979456,0.492690701,282,282,104,683,1.99,1,20,19
Q2,Mon,0,Beauty,Samsung,Galaxy,ManufacturerDirect,FBA,1,High,0,Premium,Top100,274.1425148,18.15821086,5.092759612,5,116,29,1367,0.5,-2.6,7,47.03272677,1.261107944,77.38567928,35,35,1732,351,2.3,46.9,100,33495
Q4-Holiday,Wed,0,Home,Generic,PlayStation,AuthorizedDistributor,FBA,1,Peak,0,Poor,LowVisibility,47.34105513,44.06912944,0.946419131,4.2,5,10,204,0.5,-4.2,0,11.71086093,0.602034201,13.56584809,12,21,214,230,4.03,1,44,251
Q2,Sat,0,Toys,Generic,HasbroGaming,WholesaleAggregator,FBA,1,Low,0,Standard,Top20,16.99492678,20.8878651,2.401172003,4.2,23,16,520,0.5,0.1,0,2.735098618,1.112831835,11.7151421,29,36,707,191,1.67,8.7,74,2094
Q2,Sat,0,Toys,PG,AmazonBasics,WholesaleAggregator,MerchantFulfilled,0,Peak,0,Good,LowVisibility,7.757751129,60.57859791,0.491342893,3.9,2,1,535,1,-9.7,0,2.078519228,0.209251461,4.611764631,67,220,1016,318,2.65,1,54.2,1303
Q2,Fri,0,Grocery,Samsung,iPhone,AuthorizedDistributor,FBA,1,High,0,Premium,Top5,236.1843131,8.431061936,14.03864878,4.8,298,293,388,0.5,-16.9,30,52.68409685,10.89928344,125.2273119,9,9,741,69,2.69,74.3,100,410610
Q3,Sat,0,Toys,Generic,HasbroGaming,Importer,MerchantFulfilled,0,High,0,Premium,LowVisibility,13.38035936,24.2742259,0.46339298,4.3,2,1,214,4,16.6,0,2.517520339,0.266672479,1.976509366,20,20,214,1430,2.31,1,76.1,149
Q4-Holiday,Fri,0,Electronics,Samsung,Galaxy,Importer,FBA,1,Peak,0,Good,Top100,907.1022054,24.61770918,8.49153044,4.3,59,18,77,1,-15,0,85.80909477,2.940155239,21.47343204,1,4,649,2464,4.31,1,100,184
Q4-Holiday,Sat,1,Toys,PG,PlayStation,AuthorizedDistributor,FBA,1,High,1,Premium,Top5,179.1107224,57.96951238,62.76114883,5,335,445,1671,1,-10.6,80,37.92183707,43.43244056,484.7715569,10,26,3582,294,5.4,73.9,100,7063435
Q2,Mon,0,Grocery,Nike,Kindle,WholesaleAggregator,FBA,1,Medium,1,Standard,Top5,19.6856495,39.05908111,5.900295276,4.6,46,206,2153,0.5,-6.9,7,4.908270368,3.948982459,63.09761007,22,22,2153,41,2.35,57.5,81.4,394044
Q4-Holiday,Fri,0,Beauty,Loreal,AmazonBasics,MarketplaceSeller,FBA,1,Peak,0,Standard,LowVisibility,13.95688649,69.33522578,0.865628888,4.3,19,7,2930,1,-18.7,0,2.131277762,0.327762528,8.360319206,49,87,2930,215,4.02,1,72.4,72635
Q4-Holiday,Wed,1,Toys,Hasbro,NikeRunning,MarketplaceSeller,FBA,1,High,1,Good,Top5,62.71836036,61.60951274,37.43123852,4.8,167,524,1247,2,-6,15,5.207363479,8.494543486,246.2421597,13,28,2043,388,5.07,55.3,88.8,2730663
Q3,Sat,0,Home,Penguin,PenguinClassics,Publisher,FBA,1,High,0,Standard,Top5,9.75587169,15.40808746,0.804759776,4.4,20,14,1444,0.5,-0.7,1,2.15382197,0.327334325,2.136469281,429,496,1444,152,2.68,20.5,56.5,5545
Q2,Wed,0,SportsOutdoor,AmazonBasics,NikeRunning,MarketplaceSeller,FBA,1,Low,0,Good,Top5,107.0564039,70.14499128,9.784835428,4.8,122,80,2017,1,-5.1,4,33.52261654,3.846113127,37.90584504,194,229,2017,229,1.13,48.1,80.7,19279
Q4-Holiday,Thu,1,Toys,Generic,GenericBrand,MarketplaceSeller,MerchantFulfilled,0,Peak,1,Poor,LowVisibility,10.8674752,71.46291251,4.258096804,3.7,5,14,189,6,-9.7,1,3.864570576,3.265661533,61.10739066,40,43,189,414,4.38,1,16.8,30079
Q2,Sat,0,Books,Samsung,Nescafe,Publisher,FBA,1,Low,0,Premium,Top100,9.15087458,60.86340616,0.751484638,4.8,23,20,2873,0.5,-11.3,1,3.383094624,0.469659981,6.18647496,105,144,2873,121,1.08,17.1,100,8499
Q2,Sun,0,Home,Nestle,Kindle,ManufacturerDirect,FBA,0,Medium,0,Premium,Top100,22.95511261,23.29109841,0.629509225,4.4,10,1,692,1,-8.8,0,12.67170344,0.220483944,3.934499034,16,23,692,318,1.61,1,86.1,177
Q4-Holiday,Wed,0,Electronics,Nike,NikeRunning,WholesaleAggregator,FBA,1,High,1,Good,Top5,538.6755694,53.2208052,13.14074992,5,149,95,623,0.5,-18,31,144.4143775,2.709947706,196.784998,34,34,755,231,4.03,64.5,92.2,255056
Q1,Mon,0,Clothing,Nike,NikeRunning,AuthorizedDistributor,FBA,1,Medium,0,Good,Top5,110.9298409,56.40480464,5.617634968,4.7,16,8,1566,0.5,-1.4,1,18.92767012,1.65093868,32.34255925,10,15,1566,365,1.67,32,100,10357
Q4-Holiday,Tue,0,Electronics,Apple,iPhone,AuthorizedDistributor,FBA,1,High,1,Premium,Top5,14099.65849,8.679012097,919.9631626,5,2072,4990,55,1,-30.5,576,4083.323796,299.8570829,28739.09385,3,7,97,267,3.92,98,100,4271918
Q3,Tue,0,Books,Samsung,Galaxy,Publisher,FBA,1,Low,0,Good,Top100,61.51816357,33.91988182,1.688266259,5,33,13,677,0.5,-16.4,2,12.21293817,1.14770288,7.395188922,294,350,1077,176,1.18,31.4,99.4,4507
Q4-Holiday,Sat,1,Electronics,Apple,iPhone,AuthorizedDistributor,FBA,1,High,1,Premium,Top5,16654.0719,22.92541311,3112.292464,5,4868,6565,358,1,-22.2,6575,3957.520225,2527.268689,70279.52142,3,8,358,114,5.18,99.8,100,43604924
Q4-Holiday,Thu,1,Electronics,Generic,Galaxy,Importer,FBA,1,Peak,1,Good,Top5,854.2273683,80.30335641,94.01069154,4.8,322,460,772,1,-23.6,172,222.6925433,58.92640508,3036.733579,20,56,1453,387,5.64,71.8,100,8134523
Q1,Wed,0,SportsOutdoor,PG,SonyAudio,MarketplaceSeller,MerchantFulfilled,0,Low,0,Poor,LowVisibility,18.71204678,31.93500148,0.117669195,3.2,0,0,17,9,0.9,0,4.754559418,0.085591077,0.344821058,12,15,17,871,0.25,1,3.1,14
Q3,Mon,0,Clothing,Generic,SonyAudio,Importer,FBA,1,High,0,Poor,Top100,17.40410836,77.74272912,0.756401781,3.9,4,1,780,1,-5.1,0,3.93181478,0.255911056,5.748585056,14,14,780,859,2.62,1,50.2,1724
Q3,Mon,0,SportsOutdoor,Penguin,PenguinClassics,Publisher,FBA,1,High,0,Standard,LowVisibility,10.51581989,26.94802245,0.333095646,4.7,8,1,987,1,-6.1,0,1.78713354,0.083364442,1.906360871,153,258,987,135,2.35,1,57.6,2288
Q1,Sat,0,Beauty,Generic,LorealParis,ManufacturerDirect,FBA,1,Medium,0,Standard,Top100,21.05582489,15.93901947,0.251526579,4.5,5,11,692,0.5,-8.5,0,8.434538538,0.109735724,3.69796035,19,34,692,264,1.71,1,89.1,765
Q3,Wed,0,SportsOutdoor,Generic,Kindle,MarketplaceSeller,MerchantFulfilled,0,High,0,Premium,LowVisibility,68.88475982,5.844099122,0.752933537,4.6,9,1,277,5,-0.2,0,29.62836397,0.369290214,1.110750269,80,131,277,1326,1.7,1,91.1,30
Q2,Sat,0,Grocery,Generic,AmazonBasics,WholesaleAggregator,MerchantFulfilled,1,Low,0,Good,Top100,3.872938577,53.96829889,0.496416144,4.3,1,6,600,2,-11.5,0,1.017104754,0.061345573,4.816331073,13,23,600,57,1.09,1,55.6,6275
Q4-Holiday,Wed,0,Electronics,Apple,Galaxy,IndependentArtisan,MerchantFulfilled,0,Low,0,Standard,LowVisibility,1292.340653,9.243056062,20.22672931,4.4,16,2,21,7,-12.6,0,211.1840627,15.12428061,58.23620156,10,13,21,1844,1.2,1,100,6
Q1,Thu,0,SportsOutdoor,Samsung,NikeRunning,AuthorizedDistributor,FBA,1,Medium,0,Good,Top100,229.7488995,21.41233086,1.477232808,5,0,3,607,0.5,4.2,1,104.6696919,1.1982076,7.998413817,38,43,607,187,1.46,21.9,100,182
Q2,Mon,0,Clothing,Nike,NikeRunning,Importer,SellerFulfilledPrime,0,Medium,0,Standard,Top5,70.42918207,74.29419398,3.041213651,4.1,10,3,142,2,3.3,0,15.24308775,0.600828098,10.49154725,23,30,226,1110,1.48,5.9,64.3,313
Q2,Sat,0,Books,Penguin,PenguinClassics,Publisher,FBA,1,High,0,Good,Top100,2.554129201,29.96002044,0.163431414,4.6,17,11,734,0.5,-7.8,0,0.267106264,0.119228046,0.769120469,151,390,734,33,2.25,1,75.5,4356
Q4-Holiday,Sat,0,Books,Penguin,PenguinClassics,Publisher,FBA,1,Low,0,Standard,Top5,3.740989057,44.50676232,0.684740683,5,49,35,22182,0.5,-6.2,6,1.16900714,0.378481222,4.446299312,2387,2387,22182,67,2.58,49.1,76.9,209020
Q1,Thu,0,Beauty,Samsung,Galaxy,Importer,SellerFulfilledPrime,1,Low,0,Standard,Top100,164.5509031,67.86278636,5.490613021,4.6,15,17,737,1,5,1,22.07972257,3.068909793,25.86665366,16,54,737,1362,0.56,2.9,86.2,4453
Q3,Thu,1,Clothing,Nike,NikeRunning,Importer,FBA,1,High,1,Good,LowVisibility,63.50545849,47.1875815,2.493386599,4.6,8,6,601,1,10.1,0,18.54049005,0.69499233,17.6276822,4,8,601,226,3.4,1,89.2,178
Q4-Holiday,Sat,1,Toys,PG,PlayStation,AuthorizedDistributor,FBA,1,Peak,1,Standard,Top5,114.8979498,46.80095762,36.77299489,4.7,262,698,1310,1,-10.2,57,46.97502358,13.10619673,1155.697122,41,61,1310,120,5.98,73.2,100,4358652
Q2,Fri,0,Clothing,AmazonBasics,HasbroGaming,Importer,MerchantFulfilled,1,Low,0,Standard,Top20,17.01701671,32.48271236,1.925186809,4.4,14,6,1140,2,-3.8,0,9.163286307,1.044765563,7.752649075,85,91,1140,2944,0.67,1,79.2,844
Q1,Wed,0,Toys,AmazonBasics,PlayStation,AuthorizedDistributor,FBA,1,Medium,0,Premium,Top5,108.8585358,20.84706247,22.01759448,4.9,40,9,999,0.5,-3.6,5,32.23083247,17.25018234,146.3441468,12,17,1294,259,1.86,56.2,100,26874
Q3,Mon,0,Toys,Generic,Kindle,ManufacturerDirect,FBA,1,High,0,Premium,Top20,50.11336755,37.00842122,3.927930711,5,16,15,2026,0.5,-2.8,2,32.81604323,0.494885159,38.42351269,123,242,2026,582,2.83,30.4,100,14987
Q1,Sat,0,Toys,Generic,iPhone,AuthorizedDistributor,FBA,1,Medium,0,Premium,Top5,413.169588,25.05232145,62.35120318,5,372,1004,1051,0.5,-5.7,296,93.51813805,24.55065132,846.6429537,28,68,1051,146,2.06,88.8,100,1978271
Q3,Thu,0,Grocery,Generic,GenericBrand,Publisher,FBA,1,High,0,Standard,LowVisibility,4.74748496,10.47803766,0.193303461,4,2,1,1199,0.5,-12.5,0,1.141463816,0.117137799,1.535776054,41,41,1199,68,2.61,1,45.1,706
Q2,Tue,0,Electronics,Samsung,Galaxy,Importer,FBA,1,Medium,0,Standard,Top20,1131.940524,57.65998401,43.01893848,5,208,48,163,1,-2.1,18,265.5458653,9.583466533,193.6744127,31,74,189,192,1.94,44.6,100,12140
Q2,Fri,0,Clothing,Generic,NikeRunning,MarketplaceSeller,MerchantFulfilled,1,Low,0,Standard,Top20,42.78462262,63.43571591,2.722659498,4,3,4,526,1,-7.3,1,4.320901819,1.103649888,7.11001458,315,315,526,1095,0.48,1,48.9,751
Q3,Tue,0,Books,Penguin,PenguinClassics,Publisher,FBA,1,High,0,Poor,Top20,1.842550226,62.90808506,0.084453615,4.4,65,10,4613,0.5,1.9,0,1.109969782,0.035354621,0.961422119,1505,2129,5531,64,2.42,9.8,30.5,17445
Q1,Sat,0,Electronics,Loreal,AmazonBasics,MarketplaceSeller,FBA,1,Low,0,Poor,Top5,123.4415961,77.6032573,19.29843233,4.3,15,100,1646,0.5,-10.7,9,29.41627342,12.88241922,147.0047588,26,26,1646,269,1.18,33.8,60.3,49466
Q2,Sat,0,Books,Penguin,PenguinClassics,Publisher,FBA,1,Medium,0,Good,Top100,2.679384437,22.70612411,0.180369516,4.9,19,15,4410,0.5,2.7,1,1.161134443,0.135995355,0.399082441,4619,4828,4410,147,1.71,11.7,68.6,5159
Q4-Holiday,Thu,0,Toys,Generic,LorealParis,AuthorizedDistributor,FBA,1,High,0,Premium,Top5,46.63734804,43.32546024,8.754535935,5,54,25,278,1,-15.1,8,19.07804542,5.868551763,43.576355,51,81,476,27,3.95,57.7,100,82776
Q4-Holiday,Sat,0,Electronics,Generic,iPhone,AuthorizedDistributor,FBA,1,Low,0,Premium,Top5,2069.641919,5.679617107,44.22477261,5,440,80,126,0.5,-17.8,7,203.7601744,25.85230101,203.9998882,1,4,428,69,2.86,66,100,30290
Q4-Holiday,Sun,1,Toys,Generic,iPhone,AuthorizedDistributor,FBA,1,Peak,1,Premium,Top5,493.5658933,76.88795798,421.4906202,5,1087,1811,1951,0.5,-25.5,825,81.26401954,90.58872438,9655.32564,4,7,4532,378,5.98,89,100,1138997271
Q3,Sun,0,Beauty,Generic,Nescafe,MarketplaceSeller,FBA,1,High,0,Good,Top100,7.467310476,32.35593957,0.281485987,4.2,9,2,355,1,4.5,0,1.493757978,0.123173426,1.570177545,54,87,387,193,2.64,1,59.3,1097
Q2,Wed,0,Beauty,AmazonBasics,LorealParis,WholesaleAggregator,FBA,1,High,0,Standard,Top20,19.67734929,49.91832829,1.43704027,4.4,5,4,2099,0.5,-2.2,1,7.888619104,0.719215551,14.83489144,12,48,2831,105,2.46,32.1,86.7,19236
Q3,Thu,0,Toys,PG,iPhone,ManufacturerDirect,FBA,1,High,0,Premium,Top5,339.5040665,10.27887176,24.27687139,5,51,277,973,0.5,-6.8,74,98.65646416,20.02865974,142.3748662,3,12,1495,95,2.95,71.1,100,852096
Q3,Thu,0,Electronics,Samsung,Galaxy,Importer,FBA,1,Medium,0,Standard,LowVisibility,639.6609295,15.75497497,3.051420026,4.5,30,12,169,1,-11.5,0,124.362119,1.519778371,8.220079494,12,12,169,553,2.13,1,84.6,334
Q3,Fri,0,SportsOutdoor,Generic,Galaxy,AuthorizedDistributor,FBA,1,High,0,Good,Top5,315.1470768,34.27869319,9.226532627,4.7,118,26,177,1,-13.5,2,78.17404914,5.921345996,83.04700741,12,70,345,236,2.72,55,100,14658
Q3,Sat,0,Books,Loreal,PenguinClassics,Publisher,FBA,1,High,0,Standard,LowVisibility,3.06255553,24.70476334,0.153601587,4.9,11,15,2343,0.5,-13.4,0,0.953377389,0.020011043,1.670112282,966,1239,3386,173,2.51,1,65.2,4166
Q4-Holiday,Tue,1,Toys,Generic,PlayStation,AuthorizedDistributor,FBA,1,Peak,1,Premium,Top5,172.8476359,56.28072894,69.0141993,4.9,133,740,6878,1,-12.9,175,12.5094048,18.73379682,603.9403908,4,12,6878,207,5.79,73.7,100,25887498
Q3,Sun,0,SportsOutdoor,Nestle,SonyAudio,AuthorizedDistributor,FBA,1,High,0,Standard,Top100,18.46501518,22.43442164,0.341539747,4.2,0,2,284,1,-7.2,0,9.222221425,0.272468237,1.781014603,13,29,284,139,2.73,1,65.8,843
